what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1504086479407
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504086481267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086487776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086489008
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1504086489016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086489565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086489648
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504086490905
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504086496396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086500773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504086500789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086504414
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504086511529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504086513659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086543553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086576643
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1504086579007
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504086581039
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504086583689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086584645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086602594
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504086603823
executed,command,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors.lineNumberToggle",1504086607484
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504086611789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086613274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086617369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504086617399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1504086617399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504086619158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087494270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087494676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087494757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087495934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087590895
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504087593702
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504087596742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087598059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1504087598077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087603941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087604323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087610621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087611753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504087612171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087617017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087633198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087644416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087645431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087649765
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1504087657083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504087657497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504087657885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087663030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087666905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504087667614
